range , range , frequency
I
0.000000 , 0.200000 , 2        
0.200000 , 0.400000 , 0        
0.400000 , 0.600000 , 0        
0.600000 , 0.800000 , 0        
0.800000 , 1.000000 , 4        
1.000000 , 1.200000 , 0        
1.200000 , 1.400000 , 0        
1.400000 , 1.600000 , 0        
1.600000 , 1.800000 , 0        
1.800000 , 2.000000 , 3        

O
0.000000 , 0.300000 , 3        
0.300000 , 0.600000 , 0        
0.600000 , 0.900000 , 0        
0.900000 , 1.200000 , 4        
1.200000 , 1.500000 , 0        
1.500000 , 1.800000 , 0        
1.800000 , 2.100000 , 0        
2.100000 , 2.400000 , 0        
2.400000 , 2.700000 , 0        
2.700000 , 3.000000 , 2        

IO
0.000000 , 0.200000 , 6        
0.200000 , 0.400000 , 0        
0.400000 , 0.600000 , 0        
0.600000 , 0.800000 , 0        
0.800000 , 1.000000 , 2        
1.000000 , 1.200000 , 0        
1.200000 , 1.400000 , 0        
1.400000 , 1.600000 , 0        
1.600000 , 1.800000 , 0        
1.800000 , 2.000000 , 1        

TOT
0.000000 , 0.400000 , 1        
0.400000 , 0.800000 , 0        
0.800000 , 1.200000 , 3        
1.200000 , 1.600000 , 0        
1.600000 , 2.000000 , 3        
2.000000 , 2.400000 , 0        
2.400000 , 2.800000 , 0        
2.800000 , 3.200000 , 1        
3.200000 , 3.600000 , 0        
3.600000 , 4.000000 , 1        
